Order,Family,Species,Common name,ED,GE,EDGE,Rank,Red List ID,Distribution,
PRIMATES,PITHECIIDAE,Callicebus barbarabrownae,Blond Titi Monkey,7.731880218,4,4.939569443,141,39929,Brazil, 
RODENTIA,CRICETIDAE,Habromys schmidlyi,Schmidly's Deer Mouse,7.660429286,4,4.931353015,142,136616,Mexico, 
RODENTIA,CRICETIDAE,Habromys chinanteco,Chinanteco Deer Mouse,7.654091993,4,4.930620994,143,9608,Mexico, 
CARNIVORA,EUPLERIDAE,Cryptoprocta ferox,Fossa,33.57644994,2,4.929467174,144,5760,Madagascar, 
EULIPOTYPHLA,SORICIDAE,Sorex sclateri,Sclater's Shrew,7.619954181,4,4.926668491,145,20394,Mexico, 
EULIPOTYPHLA,SORICIDAE,Sorex stizodon,San Cristobal Shrew,7.619954181,4,4.926668491,145,20395,Mexico, 
RODENTIA,CRICETIDAE,Tylomys bullaris,Chiapan Climbing Rat,7.564372143,4,4.920199546,147,22570,Mexico, 
EULIPOTYPHLA,SORICIDAE,Myosorex eisentrauti,Eisentraut's Mouse Shrew,7.535426426,4,4.916814039,148,14106,Equatorial Guinea, 
CHIROPTERA,EMBALLONURIDAE,Saccopteryx antioquensis,Antioquian Sac-winged Bat,16.05814458,3,4.916069319,149,136420,Colombia, 
CETARTIODACTYLA,HIPPOPOTAMIDAE,Hippopotamus amphibius,Hippopotamus,32.89037006,2,4.909425266,150,10103,"Angola,Burkina Faso,Burundi,Benin,Botswana,Congo, The Democratic Republic of the,Central African Republic,Congo,Côte d'Ivoire,Cameroon,Algeria,Egypt,Eritrea,Ethiopia,Gabon,Ghana,Gambia,Guinea,Equatorial Guinea,Guinea-Bissau,Kenya,Liberia,Mali,Mauritania,Malawi,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sudan,Sierra Leone,Senegal,Somalia,South Sudan,Swaziland,Chad,Togo,Tanzania, United Republic of,Uganda,South Africa,Zambia,Zimbabwe", 
PILOSA,MYRMECOPHAGIDAE,Myrmecophaga tridactyla,Giant Anteater,32.70774045,2,4.904021859,151,14224,"Argentina,Bolivia, Plurinational States of,Brazil,Belize,Colombia,Costa Rica,Ecuador,French Guiana,Guatemala,Guyana,Honduras,Nicaragua,Panama,Peru,Paraguay,Suriname,El Salvador,Uruguay,Venezuela, Bolivarian Republic of", 
CARNIVORA,EUPLERIDAE,Galidictis grandidieri,Grandidier's Mongoose,15.70024538,3,4.894864954,152,8834,Madagascar, 
CHIROPTERA,MORMOOPIDAE,Pteronotus paraguanensis,NA,15.62606577,3,4.890413233,153,136610,"Venezuela, Bolivarian Republic of", 
CARNIVORA,EUPLERIDAE,Mungotictis decemlineata,Narrow-striped Mongoose,15.55327638,3,4.886025593,154,13923,Madagascar, 
CETARTIODACTYLA,SUIDAE,Babyrousa togeanensis,Togian Islands Babirusa,15.45665654,3,4.88017159,155,136472,Indonesia, 
LAGOMORPHA,OCHOTONIDAE,Ochotona hoffmanni,Hoffmann's Pika,15.44643389,3,4.87955021,156,40800,"Mongolia,Russian Federation", 
CHIROPTERA,FURIPTERIDAE,Amorphochilus schnablii,Smoky Bat,31.15048102,2,4.856721773,157,1154,"Chile,Ecuador,Peru", 
PRIMATES,TARSIIDAE,Tarsius pelengensis,Peleng Tarsier,14.93613028,3,4.848030418,158,21494,Indonesia, 
PRIMATES,TARSIIDAE,Tarsius sangirensis,Sangihe Island Tarsier,14.8945932,3,4.845420543,159,21493,Indonesia, 
CARNIVORA,URSIDAE,Tremarctos ornatus,Andean Bear,30.26473503,2,4.828785147,160,22066,"Bolivia, Plurinational States of,Colombia,Ecuador,Peru,Venezuela, Bolivarian Republic of", 
EULIPOTYPHLA,TALPIDAE,Mogera etigo,Etigo Mole,14.60724297,3,4.827176641,161,13604,Japan, 
CARNIVORA,VIVERRIDAE,Cynogale bennettii,Otter-civet,14.5584102,3,4.824042883,162,6082,"Brunei Darussalam,Indonesia,Malaysia", 
DIPROTODONTIA,PETAURIDAE,Dactylopsila tatei,Tate's Triok,14.43694257,3,4.816205047,163,6224,Papua New Guinea, 
LAGOMORPHA,OCHOTONIDAE,Ochotona koslowi,Kozlov's Pika,14.25191898,3,4.804146871,164,15046,China, 
CETARTIODACTYLA,BALAENIDAE,Eubalaena glacialis,Black Right Whale,14.10040054,3,4.794162811,165,41712,"Bermuda,Canada,Spain,United Kingdom,Greenland,Ireland,Iceland,Norway,Saint Pierre and Miquelon,Portugal,United States", 
CETARTIODACTYLA,BALAENIDAE,Eubalaena japonica,North Pacific Right Whale,14.10040054,3,4.794162811,165,41711,"Canada,China,Japan,Korea, Democratic People's Republic of,Korea, Republic of,Mexico,Russian Federation,Taiwan, Province of China,United States", 
LAGOMORPHA,OCHOTONIDAE,Ochotona iliensis,Ili Pika,13.88437051,3,4.779753245,167,15050,China, 
CHIROPTERA,EMBALLONURIDAE,Emballonura semicaudata,Pacific Sheath-tailed Bat,13.67675577,3,4.765706544,168,7669,"American Samoa,Fiji,Micronesia, Federated States of ,Guam,Northern Mariana Islands,Palau,Tonga,Vanuatu,Samoa", 
RODENTIA,NESOMYIDAE,Macrotarsomys ingens,Long-tailed Big-footed Mouse,13.6474249,3,4.763706087,169,12646,Madagascar, 
PRIMATES,LEMURIDAE,Lemur catta,Ring-tailed Lemur,13.57879103,3,4.759009345,170,11496,Madagascar, 
SCANDENTIA,TUPAIIDAE,Tupaia nicobarica,Nicobar Treeshrew,13.29241176,3,4.739170292,171,22454,India, 
PRIMATES,CHEIROGALEIDAE,Phaner parienti,Pariente's Fork-marked Lemur,13.21442536,3,4.733698861,172,16873,Madagascar, 
CHIROPTERA,CRASEONYCTERIDAE,Craseonycteris thonglongyai,Kitti's Hog-nosed Bat,27.21939359,2,4.726303819,173,5481,"Myanmar,Thailand", 
PRIMATES,CHEIROGALEIDAE,Phaner pallescens,Pale Fork-marked Lemur,13.08583752,3,4.724611403,174,16874,Madagascar, 
RODENTIA,CHINCHILLIDAE,Chinchilla chinchilla,Short-tailed Chinchilla,13.0443925,3,4.721664747,175,4651,"Chile,Peru", 
RODENTIA,CHINCHILLIDAE,Chinchilla lanigera,Long-tailed Chinchilla,13.0443925,3,4.721664747,175,4652,Chile, 
CARNIVORA,VIVERRIDAE,Chrotogale owstoni,Owston's Civet,12.91146617,3,4.712154946,177,4806,"China,Lao People's Democratic Republic,Viet Nam", 
RODENTIA,NESOMYIDAE,Mystromys albicaudatus,White-tailed Rat,12.77947625,3,4.702621799,178,14262,"Lesotho,South Africa", 
PRIMATES,CHEIROGALEIDAE,Phaner electromontis,Montagne Dâ€™ Ambre Fork-marked Lemur,12.70061984,3,4.696882617,179,16875,Madagascar, 
CETARTIODACTYLA,TRAGULIDAE,Tragulus nigricans,Balabac Mouse Deer,12.64492613,3,4.692809282,180,22065,Philippines, 
SCANDENTIA,TUPAIIDAE,Tupaia chrysogaster,Golden-bellied Treeshrew,12.63899526,3,4.69237453,181,22446,Indonesia, 
RODENTIA,NESOMYIDAE,Voalavo antsahabensis,Eastern Voalavo,12.60143827,3,4.689617084,182,165925,Madagascar, 
RODENTIA,SPALACIDAE,Tachyoryctes macrocephalus,Giant Mole Rat,12.54780478,3,4.685666067,183,21293,Ethiopia, 
LAGOMORPHA,LEPORIDAE,Caprolagus hispidus,Hispid Hare,12.48747831,3,4.681203264,184,3833,"Bangladesh,India,Nepal", 
CARNIVORA,ODOBENIDAE,Odobenus rosmarus,Walrus,25.95671407,2,4.680526758,185,15106,"Canada,Greenland,Russian Federation,Svalbard and Jan Mayen,United States", 
CHIROPTERA,PHYLLOSTOMIDAE,Lonchorhina fernandezi,Fernandez's Sword-nosed Bat,12.43896545,3,4.677599899,186,12271,"Venezuela, Bolivarian Republic of", 
PERISSODACTYLA,RHINOCEROTIDAE,Rhinoceros unicornis,Greater One-horned Rhino,25.32572861,2,4.656841096,187,19496,"Bangladesh,Bhutan,India,Nepal", 
RODENTIA,NESOMYIDAE,Nesomys lambertoni,Lowland Red Forest Rat,12.15667288,3,4.656370615,188,136330,Madagascar, 
RODENTIA,DIPODIDAE,Sicista armenica,Armenian Birch Mouse,12.06944313,3,4.649718462,189,20185,Armenia, 
PERISSODACTYLA,EQUIDAE,Equus ferus,Przewalski's Horse,12.05033479,3,4.648255329,190,41763,"China,Kazakhstan,Mongolia,Russian Federation,Ukraine", 
RODENTIA,DIPODIDAE,Sicista kazbegica,Kazbeg Birch Mouse,12.00892804,3,4.645077436,191,20189,"Georgia,Russian Federation", 
MACROSCELIDEA,MACROSCELIDIDAE,Rhynchocyon udzungwensis,Grey-faced Sengi,25.00663623,2,4.644646106,192,136309,"Tanzania, United Republic of", 
PRIMATES,INDRIIDAE,Avahi betsileo,Betsileo Woolly Lemur,11.87685386,3,4.634872967,193,136767,Madagascar, 
PRIMATES,INDRIIDAE,Avahi cleesei,Bemaraha Woolly Lemur,11.87685386,3,4.634872967,193,136335,Madagascar, 
PRIMATES,INDRIIDAE,Avahi meridionalis,Southern Woolly Lemur,11.87685386,3,4.634872967,193,136369,Madagascar, 
PRIMATES,INDRIIDAE,Avahi mooreorum,Moore's Woolly Lemur,11.87685386,3,4.634872967,193,16971566,Madagascar, 
PRIMATES,INDRIIDAE,Avahi unicolor,Sambirano Woolly Lemur,11.87685386,3,4.634872967,193,41579,Madagascar, 
RODENTIA,MURIDAE,Tokudaia tokunoshimensis,Tokunoshima Spiny Rat ,11.77629659,3,4.627033167,198,136695,Japan, 
PAUCITUBERCULATA,CAENOLESTIDAE,Caenolestes convelatus,Blackish Shrew Opossum,24.46495064,2,4.623597383,199,40522,"Colombia,Ecuador", 
PERISSODACTYLA,TAPIRIDAE,Tapirus terrestris,Lowland Tapir,24.39687841,2,4.62092063,200,21474,"Argentina,Bolivia, Plurinational States of,Brazil,Colombia,Ecuador,French Guiana,Guyana,Peru,Paraguay,Suriname,Venezuela, Bolivarian Republic of", 
PAUCITUBERCULATA,CAENOLESTIDAE,Caenolestes condorensis,Andean Caenolestid,24.21594509,2,4.613770897,201,136743,Ecuador, 
CARNIVORA,EUPLERIDAE,Eupleres goudotii,Fanalouc,24.12537892,2,4.610172809,202,68336601,Madagascar, 
CARNIVORA,EUPLERIDAE,Fossa fossana,Fanaloka,24.12537892,2,4.610172809,202,8668,Madagascar, 
CHIROPTERA,MEGADERMATIDAE,Macroderma gigas,Ghost Bat,24.04669051,2,4.607036065,204,12590,Australia, 
PRIMATES,INDRIIDAE,Avahi occidentalis,Lorenz Von Liburnauâ€™s Woolly Lemur,11.45696509,3,4.601721453,205,2435,Madagascar, 
CETARTIODACTYLA,TAYASSUIDAE,Tayassu pecari,White-lipped Peccary,23.88173795,2,4.60042848,206,41778,"Argentina,Bolivia, Plurinational States of,Brazil,Belize,Colombia,Costa Rica,Ecuador,French Guiana,Guatemala,Guyana,Honduras,Mexico,Nicaragua,Panama,Peru,Paraguay,Suriname,El Salvador,Venezuela, Bolivarian Republic of", 
RODENTIA,MURIDAE,Tokudaia osimensis,Ryukyu Spiny Rat,11.38375337,3,4.595826943,207,21973,Japan, 
LAGOMORPHA,OCHOTONIDAE,Ochotona argentata,Silver Pika,11.34025208,3,4.592307988,208,41986,China, 
PERISSODACTYLA,EQUIDAE,Equus grevyi,Grevy's Zebra,11.3292803,3,4.591418487,209,7950,"Ethiopia,Kenya,Sudan,Somalia", 
DIPROTODONTIA,PHALANGERIDAE,Phalanger lullulae,Woodlark Cuscus,11.0808294,3,4.571061391,210,16846,Papua New Guinea, 
PERAMELEMORPHIA,PERAMELIDAE,Peroryctes broadbenti,Giant Bandicoot,11.02946016,3,4.566800196,211,16710,Papua New Guinea, 
PRIMATES,INDRIIDAE,Propithecus coronatus,Crowned Sifaka,10.90963904,3,4.556789617,212,18356,Madagascar, 
CETARTIODACTYLA,BOVIDAE,Kobus megaceros,Nile Lechwe,10.88719513,3,4.554903323,213,11034,"Ethiopia,South Sudan", 
EULIPOTYPHLA,TALPIDAE,Galemys pyrenaicus,Pyrenean Desman,22.66510626,2,4.550296015,214,8826,"Andorra,Spain,France,Portugal", 
EULIPOTYPHLA,ERINACEIDAE,Hylomys parvus,Dwarf Gymnure,22.44870922,2,4.541109811,215,10589,Indonesia, 
PERAMELEMORPHIA,PERAMELIDAE,Rhynchomeles prattorum,Seram Bandicoot,10.70815604,3,4.539727238,216,19711,Indonesia, 
CARNIVORA,FELIDAE,Prionailurus planiceps,Flat-headed Cat,10.69129886,3,4.53828642,217,18148,"Brunei Darussalam,Indonesia,Malaysia,Thailand", 
PRIMATES,INDRIIDAE,Propithecus edwardsi,Milne-Edward's Sifaka,10.68691974,3,4.537911787,218,18359,Madagascar, 
PERAMELEMORPHIA,PERAMELIDAE,Echymipera davidi,David's Echymipera,10.62451019,3,4.532557358,219,7017,Papua New Guinea, 
RODENTIA,CRICETIDAE,Xenomys nelsoni,Magdalena Rat,10.52947248,3,4.524348123,220,23115,Mexico, 
PRIMATES,INDRIIDAE,Propithecus coquereli,Coquerel's Sifaka,10.51706502,3,4.523271392,221,18355,Madagascar, 
CHIROPTERA,MOLOSSIDAE,Molossops aequatorianus,Equatorial Dog-faced Bat,10.50770854,3,4.52245866,222,13638,Ecuador, 
CINGULATA,CHLAMYPHORIDAE,Priodontes maximus,Giant Armadillo,22.00882056,2,4.522172006,223,18144,"Argentina,Bolivia, Plurinational States of,Brazil,Colombia,Ecuador,French Guiana,Guyana,Peru,Paraguay,Suriname,Uruguay,Venezuela, Bolivarian Republic of", 
CHIROPTERA,PHYLLOSTOMIDAE,Sturnira nana,Lesser Yellow-shouldered Bat,10.475702,3,4.519673472,224,20958,"Ecuador,Peru", 
RODENTIA,GEOMYIDAE,Zygogeomys trichopus,Michoacan Pocket Gopher,10.38333705,3,4.511592166,225,23323,Mexico, 
PRIMATES,HOMINIDAE,Pan paniscus,Bonobo,10.35436234,3,4.509043559,226,15932,"Congo, The Democratic Republic of the", 
PRIMATES,HOMINIDAE,Pan troglodytes,Chimpanzee,10.35436234,3,4.509043559,226,15933,"Angola,Burkina Faso,Burundi,Benin,Congo, The Democratic Republic of the,Central African Republic,Congo,Côte d'Ivoire,Cameroon,Gabon,Ghana,Guinea,Equatorial Guinea,Guinea-Bissau,Liberia,Mali,Nigeria,Rwanda,Sierra Leone,Senegal,South Sudan,Togo,Tanzania, United Republic of,Uganda", 
PRIMATES,INDRIIDAE,Propithecus verreauxi,Verreaux's Sifaka,10.28985365,3,4.503345957,228,18354,Madagascar, 
PRIMATES,INDRIIDAE,Propithecus deckenii,Decken's Sifaka,10.26308061,3,4.500971716,229,18357,Madagascar, 
CETARTIODACTYLA,CERVIDAE,Dama mesopotamica,Persian Fallow Deer,10.20183314,3,4.495518979,230,6232,"Israel,Iraq,Iran, Islamic Republic of,Jordan,Lebanon,Palestinian Territory, Occupied,Syrian Arab Republic,Turkey", 
LAGOMORPHA,LEPORIDAE,Lepus hainanus,Hainan Hare,10.1768129,3,4.493282897,231,11793,China, 
DIPROTODONTIA,PHALANGERIDAE,Phalanger alexandrae,Gebe Cuscus,10.14991505,3,4.490873421,232,16858,Indonesia, 
EULIPOTYPHLA,SORICIDAE,Cryptotis endersi,Ender's Small-eared Shrew,10.14718476,3,4.490628519,233,5763,Panama, 
CARNIVORA,VIVERRIDAE,Viverra megaspila,Large-spotted Civet,10.12856291,3,4.48895658,234,41707,"China,Cambodia,Lao People's Democratic Republic,Myanmar,Malaysia,Thailand,Viet Nam", 
CETARTIODACTYLA,BOVIDAE,Redunca fulvorufula,Mountain Reedbuck,10.12439011,3,4.488581547,235,19391,"Botswana,Cameroon,Ethiopia,Kenya,Lesotho,Mozambique,Nigeria,South Sudan,Swaziland,Tanzania, United Republic of,Uganda,South Africa", 
CARNIVORA,MUSTELIDAE,Melogale everetti,"Bornean Ferret Badger, Everett's Ferret Badger, Kinabalu Ferret Badger",10.11251204,3,4.487513226,236,13110,Malaysia, 
PILOSA,BRADYPODIDAE,Bradypus torquatus,Maned Three-toed Sloth,21.22445301,2,4.487487531,237,3036,Brazil, 
EULIPOTYPHLA,SORICIDAE,Cryptotis griseoventris,Guatamalan Small Eared Shrew,10.06942426,3,4.483628278,238,48269619,Mexico, 
RODENTIA,SPALACIDAE,Spalax arenarius,Sandy Mole Rat,9.92273681,3,4.470288104,239,20428,Ukraine, 
AFROSORICIDA,TENRECIDAE,Limnogale mergulus,Aquatic Tenrec,20.75773329,2,4.466263609,240,11979,Madagascar, 
DIPROTODONTIA,POTOROIDAE,Bettongia tropica,Northern Bettong,9.825132039,3,4.461312013,241,2787,Australia, 
AFROSORICIDA,TENRECIDAE,Microgale jenkinsae,Jenkins' Shrew Tenrec,9.795561236,3,4.458576595,242,62015,Madagascar, 
AFROSORICIDA,TENRECIDAE,Microgale jobihely,Northern Shrew Tenrec,9.795561236,3,4.458576595,242,136628,Madagascar, 
EULIPOTYPHLA,SORICIDAE,Cryptotis mera,Darien Small Eared Shrew,9.751982101,3,4.454531661,244,136299,"Colombia,Panama", 
CHIROPTERA,HIPPOSIDERIDAE,Hipposideros coxi,"Cox's Leaf-nosed Bat, Cox's Roundleaf Bat",9.720446065,3,4.451594307,245,10123,Malaysia, 
PRIMATES,CHEIROGALEIDAE,Microcebus arnholdi,Arnhold's Mouse Lemur,9.656678069,3,4.445628286,246,16971390,Madagascar, 
PRIMATES,CHEIROGALEIDAE,Microcebus berthae,Madame Berthe's Mouse Lemur,9.656678069,3,4.445628286,246,41573,Madagascar, 
PRIMATES,CHEIROGALEIDAE,Microcebus bongolavensis,Bongolava Mouse Lemur,9.656678069,3,4.445628286,246,136537,Madagascar, 
PRIMATES,CHEIROGALEIDAE,Microcebus danfossi,Danfoss' Mouse Lemur,9.656678069,3,4.445628286,246,136347,Madagascar, 
PRIMATES,CHEIROGALEIDAE,Microcebus jollyae,Jolly's Mouse Lemur,9.656678069,3,4.445628286,246,136458,Madagascar, 
PRIMATES,CHEIROGALEIDAE,Microcebus macarthurii,MacArthur's Mouse Lemur,9.656678069,3,4.445628286,246,16971425,Madagascar, 
PRIMATES,CHEIROGALEIDAE,Microcebus margotmarshae,Margot Marsh's Mouse Lemur,9.656678069,3,4.445628286,246,16971364,Madagascar, 
PRIMATES,CHEIROGALEIDAE,Microcebus mittermeieri,Mittermeier's Mouse Lemur,9.656678069,3,4.445628286,246,136272,Madagascar, 
PRIMATES,CHEIROGALEIDAE,Microcebus ravelobensis,Golden-brown Mouse Lemur,9.656678069,3,4.445628286,246,39751,Madagascar, 
PRIMATES,CHEIROGALEIDAE,Microcebus sambiranensis,Sambirano Mouse Lemur,9.656678069,3,4.445628286,246,41572,Madagascar, 
PRIMATES,CHEIROGALEIDAE,Microcebus simmonsi,Simmons' Mouse Lemur,9.656678069,3,4.445628286,246,136744,Madagascar, 
RODENTIA,MURIDAE,Lamottemys okuensis,Mt. Oku Rat,9.616013691,3,4.441805128,257,11202,Cameroon, 
RODENTIA,CAPROMYIDAE,Mesocapromys auritus,Eared Hutia,9.558993333,3,4.436419487,258,13216,Cuba, 
DIPROTODONTIA,POTOROIDAE,Potorous longipes,Long-footed Potoroo,20.07359707,2,4.434315294,259,18102,Australia, 
RODENTIA,MURIDAE,Diplothrix legata,Ryukyus Islands Tree Rat,9.482720551,3,4.429169781,260,6671,Japan, 
CHIROPTERA,MOLOSSIDAE,Mormopterus acetabulosus,Natal Free-tailed Bat,9.467143602,3,4.427682712,261,71733227,Mauritius, 
PHOLIDOTA,MANIDAE,Phataginus tricuspis,African White-bellied Pangolin,19.86079871,2,4.424166099,262,12767,"Angola,Benin,Congo, The Democratic Republic of the,Central African Republic,Congo,Côte d'Ivoire,Cameroon,Gabon,Ghana,Guinea,Equatorial Guinea,Guinea-Bissau,Kenya,Liberia,Nigeria,Rwanda,Sierra Leone,South Sudan,Togo,Tanzania, United Republic of,Uganda,Zambia", 
CHIROPTERA,PTEROPODIDAE,Neopteryx frosti,Small-toothed Fruit Bat,9.400012043,3,4.421248506,263,14560,Indonesia, 
RODENTIA,MURIDAE,Vandeleuria nolthenii,Nolthenius's Long-tailed Climbing Mouse,9.386807927,3,4.419978074,264,22844,Sri Lanka, 
CARNIVORA,OTARIIDAE,Zalophus wollebaeki,GalÃ¡pagos Sea Lion,9.386519912,3,4.419950345,265,41668,"Colombia,Costa Rica,Ecuador", 
RODENTIA,CAPROMYIDAE,Mesocapromys angelcabrerai,Cabrera's Hutia,9.384331909,3,4.419739665,266,13215,Cuba, 
PRIMATES,LEMURIDAE,Eulemur coronatus,Crowned Lemur,9.371708416,3,4.418523296,267,8199,Madagascar, 
EULIPOTYPHLA,SORICIDAE,Chimarrogale phaeura,Bornean Water Shrew,9.32914167,3,4.41441073,268,4648,Malaysia, 
CETARTIODACTYLA,BOVIDAE,Tragelaphus buxtoni,Mountain Nyala,9.321981057,3,4.413717246,269,22046,Ethiopia, 
PHOLIDOTA,MANIDAE,Phataginus tetradactyla,Long-tailed Pangolin,19.63120696,2,4.413099191,270,12766,"Congo, The Democratic Republic of the,Central African Republic,Congo,Côte d'Ivoire,Cameroon,Gabon,Ghana,Equatorial Guinea,Liberia,Nigeria,Sierra Leone", 
PHOLIDOTA,MANIDAE,Smutsia temminckii,South African Pangolin,19.62022115,2,4.412566565,271,12765,"Botswana,Central African Republic,Kenya,Malawi,Mozambique,Namibia,Rwanda,South Sudan,Swaziland,Chad,Tanzania, United Republic of,Uganda,South Africa,Zambia,Zimbabwe", 
CARNIVORA,FELIDAE,Catopuma badia,Borneo Bay Cat,9.112740697,3,4.393237626,272,4037,"Indonesia,Malaysia", 
CHIROPTERA,PHYLLOSTOMIDAE,Leptonycteris nivalis,Greater Long-nosed Bat,9.062621219,3,4.388269231,273,11697,"Mexico,United States", 
PRIMATES,LORISIDAE,Nycticebus pygmaeus,Pygmy Slow Loris,19.1131949,2,4.387670424,274,14941,"China,Cambodia,Lao People's Democratic Republic,Viet Nam", 
RODENTIA,GLIRIDAE,Myomimus roachi,Roach's Mouse-tailed Dormouse,19.10987011,2,4.387505106,275,14087,"Bulgaria,Greece,Turkey", 
PHOLIDOTA,MANIDAE,Smutsia gigantea,Giant Pangolin,19.03131166,2,4.383590994,276,12762,"Congo, The Democratic Republic of the,Central African Republic,Congo,Côte d'Ivoire,Cameroon,Gabon,Ghana,Guinea,Equatorial Guinea,Guinea-Bissau,Liberia,Rwanda,Sierra Leone,Senegal,Tanzania, United Republic of,Uganda", 
PRIMATES,LORISIDAE,Nycticebus menagensis,Philippine Slow Loris,18.88917616,2,4.376470033,277,39760,"Brunei Darussalam,Indonesia,Malaysia,Philippines", 
RODENTIA,MURIDAE,Nesoromys ceramicus,Seram Island Mountain Rat,8.839720263,3,4.365868824,278,20757,Indonesia, 
RODENTIA,MURIDAE,Nesokia bunnii,Bunn's Short-tailed Bandicoot Rat,8.787221753,3,4.360519174,279,14660,Iraq, 
CHIROPTERA,MINIOPTERIDAE,Miniopterus robustior,Loyalty Bent-winged Bat,8.753990844,3,4.35711806,280,13570,New Caledonia, 
CETARTIODACTYLA,SUIDAE,Sus verrucosus,Javan Warty Pig,8.726994013,3,4.35434645,281,21174,Indonesia, 
EULIPOTYPHLA,TALPIDAE,Mogera uchidai,"Senkaku Mole, Ryukyu Mole",18.38863444,2,4.350981402,282,14563,Japan, 
CHIROPTERA,PTEROPODIDAE,Latidens salimalii,Salim Ali's Fruit Bat,8.671827177,3,4.348658786,283,11374,India, 
PRIMATES,LORISIDAE,Nycticebus coucang,Greater Slow Loris,18.33908543,2,4.348422561,284,39759,"Indonesia,Malaysia,Singapore,Thailand", 
CINGULATA,CHLAMYPHORIDAE,Tolypeutes tricinctus,Brazilian Three-banded Armadillo,18.3214577,2,4.347510637,285,21975,Brazil, 
CARNIVORA,MUSTELIDAE,Lutra sumatrana,Hairy-nosed Otter,8.646792764,3,4.346067046,286,12421,"Brunei Darussalam,Indonesia,India,Cambodia,Myanmar,Malaysia,Thailand,Viet Nam", 
RODENTIA,MURIDAE,Hapalomys longicaudatus,Greater Marmoset Rat,8.639032809,3,4.345262314,287,9680,"Myanmar,Malaysia,Thailand", 
RODENTIA,MURIDAE,Solomys salebrosus,Bougainville Giant Rat,8.59924811,3,4.341126315,288,20335,"Papua New Guinea,Solomon Islands", 
DIPROTODONTIA,PETAURIDAE,Petaurus gracilis,Mahogany Glider,8.5966378,3,4.34085435,289,16727,Australia, 
AFROSORICIDA,CHRYSOCHLORIDAE,Chrysospalax villosus,Rough-haired Golden Mole,18.1581601,2,4.339023101,290,4829,South Africa, 
RODENTIA,MURIDAE,Hadromys humei,Humeâ€™s Rat,8.572193794,3,4.338303957,291,9618,India, 
CHIROPTERA,MINIOPTERIDAE,Miniopterus fuscus,Southeast Asian Long-fingered Bat,8.568096087,3,4.337875781,292,13564,Japan, 
CARNIVORA,MUSTELIDAE,Enhydra lutris,Sea Otter,8.559818889,3,4.337010324,293,7750,"Canada,Japan,Mexico,Russian Federation,United States", 
CETARTIODACTYLA,DELPHINIDAE,Cephalorhynchus hectori,Hector's Dolphin,8.550751858,3,4.336061422,294,4162,New Zealand, 
RODENTIA,MURIDAE,Vandeleuria nilagirica,Nilgiri Long-tailed Tree Mouse,8.534695455,3,4.334378841,295,136372,India, 
RODENTIA,GLIRIDAE,Dryomys niethammeri,Baluchistan Forest Dormouse,18.02656992,2,4.33213078,296,40767,Pakistan, 
PRIMATES,LORISIDAE,Nycticebus bengalensis,Bengal Slow Loris,17.9218651,2,4.326612498,297,39758,"Bangladesh,China,India,Cambodia,Lao People's Democratic Republic,Myanmar,Thailand,Viet Nam", 
DASYUROMORPHIA,DASYURIDAE,Parantechinus apicalis,Dibbler,8.44466072,3,4.32489112,298,16138,Australia, 
CARNIVORA,FELIDAE,Lynx pardinus,Iberian Lynx,8.438658624,3,4.324255417,299,12520,"Spain,Portugal", 
AFROSORICIDA,CHRYSOCHLORIDAE,Carpitalpa arendsi,Arend's Golden Mole,17.86200227,2,4.323443797,300,40596,"Mozambique,Zimbabwe", 
RODENTIA,MURIDAE,Solomys sapientis,Isabel Giant Rat,8.424281616,3,4.322731051,301,20336,Solomon Islands, 
RODENTIA,MURIDAE,Echiothrix leucura,Northern Sulawesi Echiothrix,8.382151347,3,4.318250633,302,7014,Indonesia, 
RODENTIA,CRICETIDAE,Nelsonia goldmani,Nelson And Coldman's Woodrat,8.380860943,3,4.318113085,303,14486,Mexico, 
AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus robustus,Robust Golden Mole,17.74404477,2,4.317170451,304,62008,South Africa, 
CETARTIODACTYLA,MOSCHIDAE,Moschus anhuiensis,Anhui Musk Deer,8.364808234,3,4.3164004,305,136643,China, 
CETARTIODACTYLA,MOSCHIDAE,Moschus berezovskii,Forest Musk Deer,8.364808234,3,4.3164004,305,13894,"China,Viet Nam", 
CARNIVORA,FELIDAE,Panthera tigris,Tiger,8.333032207,3,4.313001499,307,15955,"Afghanistan,Bangladesh,Bhutan,China,Indonesia,India,Iran, Islamic Republic of,Kyrgyzstan,Cambodia,Korea, Democratic People's Republic of,Kazakhstan,Lao People's Democratic Republic,Myanmar,Malaysia,Nepal,Pakistan,Russian Federation,Singapore,Thailand,Tajikistan,Turkmenistan,Turkey,Uzbekistan,Viet Nam", 
PRIMATES,CHEIROGALEIDAE,Allocebus trichotis,Hairy-eared Dwarf Lemur,17.65034394,2,4.312158949,308,868,Madagascar, 
RODENTIA,MURIDAE,Sundamys maxi,Bartels's Rat,8.295501822,3,4.30897215,309,21151,Indonesia, 
DIDELPHIMORPHIA,DIDELPHIDAE,Thylamys karimii,Karimi's Fat-tailed Mouse Opossum,17.57171794,2,4.307934244,310,136653,Brazil, 
RODENTIA,MURIDAE,Notomys aquilo,Northern Hopping-mouse,8.268837799,3,4.306099541,311,14862,Australia, 
